Wk,Tier,Groups,Store,Item_ID,Qty_,Price_
26,25,53,1973,16019,37.0,14.15
25,25,53,1973,16019,60.0,14.15
24,25,53,1973,16019,47.0,14.15
23,25,53,1973,16019,68.0,14.1
22,25,53,1973,16019,115.0,14.05
21,25,53,1973,16019,115.0,14.05
20,25,53,1973,16019,119.0,14.05
19,25,53,1973,16019,96.0,14.05
18,25,53,1973,16019,94.0,14.05
17,25,53,1973,16019,104.0,14.05
16,25,53,1973,16019,67.0,14.0
15,25,53,1973,16019,67.0,13.85
14,25,53,1973,16019,66.0,13.7
13,25,53,1973,16019,72.0,13.65
12,25,53,1973,16019,70.0,13.65
11,25,53,1973,16019,84.0,13.65
10,25,53,1973,16019,71.0,13.65
9,25,53,1973,16019,52.0,13.65
8,25,53,1973,16019,52.0,13.65
7,25,53,1973,16019,53.0,13.65
6,25,53,1973,16019,66.0,13.65
5,25,53,1973,16019,76.0,13.65
4,25,53,1973,16019,77.0,13.65
3,25,53,1973,16019,65.0,13.65
2,25,53,1973,16019,115.0,13.65
1,25,53,1973,16019,93.0,13.65
26,25,53,1973,16018,16.0,13.45
25,25,53,1973,16018,42.0,13.45
24,25,53,1973,16018,38.0,13.45
23,25,53,1973,16018,29.0,13.4
22,25,53,1973,16018,45.0,13.35
21,25,53,1973,16018,51.0,13.35
20,25,53,1973,16018,87.0,13.35
19,25,53,1973,16018,64.0,13.35
18,25,53,1973,16018,87.0,13.35
17,25,53,1973,16018,64.0,13.35
16,25,53,1973,16018,43.0,13.3
15,25,53,1973,16018,40.0,13.15
14,25,53,1973,16018,35.0,13.0
13,25,53,1973,16018,44.0,12.95
12,25,53,1973,16018,60.0,12.95
11,25,53,1973,16018,63.0,12.95
10,25,53,1973,16018,56.0,12.95
9,25,53,1973,16018,54.0,12.95
8,25,53,1973,16018,50.0,12.95
7,25,53,1973,16018,45.0,12.95
6,25,53,1973,16018,49.0,12.95
5,25,53,1973,16018,41.0,12.95
4,25,53,1973,16018,34.0,12.95
3,25,53,1973,16018,53.0,13.0
2,25,53,1973,16018,71.0,13.0
1,25,53,1973,16018,80.0,13.0
26,25,53,1973,16017,3.0,12.75
25,25,53,1973,16017,7.0,12.75
24,25,53,1973,16017,7.0,12.75
23,25,53,1973,16017,7.0,12.65
22,25,53,1973,16017,7.0,12.65
21,25,53,1973,16017,12.0,12.65
20,25,53,1973,16017,5.0,12.65
19,25,53,1973,16017,9.0,12.65
18,25,53,1973,16017,10.0,12.65
17,25,53,1973,16017,11.0,12.65
16,25,53,1973,16017,5.0,12.6
15,25,53,1973,16017,10.0,12.45
14,25,53,1973,16017,14.0,12.3
13,25,53,1973,16017,7.0,12.25
12,25,53,1973,16017,9.0,12.25
11,25,53,1973,16017,10.0,12.25
10,25,53,1973,16017,12.0,12.25
9,25,53,1973,16017,7.0,12.25
8,25,53,1973,16017,14.0,12.25
7,25,53,1973,16017,6.0,12.25
6,25,53,1973,16017,15.0,12.25
5,25,53,1973,16017,6.0,12.25
4,25,53,1973,16017,18.0,12.25
3,25,53,1973,16017,7.0,12.35
2,25,53,1973,16017,15.0,12.35
1,25,53,1973,16017,7.0,12.35
26,25,53,1973,16016,15.0,8.95
25,25,53,1973,16016,17.0,8.95
24,25,53,1973,16016,15.0,8.95
23,25,53,1973,16016,19.0,8.85
22,25,53,1973,16016,29.0,8.85
21,25,53,1973,16016,30.0,8.85
20,25,53,1973,16016,38.0,8.85
19,25,53,1973,16016,31.0,8.85
18,25,53,1973,16016,35.0,8.85
17,25,53,1973,16016,22.0,8.85
16,25,53,1973,16016,26.0,9.15
15,25,53,1973,16016,42.0,9.45
14,25,53,1973,16016,22.0,9.35
13,25,53,1973,16016,26.0,9.3
12,25,53,1973,16016,24.0,9.3
11,25,53,1973,16016,25.0,9.3
10,25,53,1973,16016,34.0,9.3
9,25,53,1973,16016,21.0,9.3
8,25,53,1973,16016,29.0,9.3
7,25,53,1973,16016,25.0,9.3
6,25,53,1973,16016,22.0,9.3
5,25,53,1973,16016,19.0,9.3
4,25,53,1973,16016,23.0,9.3
3,25,53,1973,16016,25.0,9.35
2,25,53,1973,16016,33.0,9.35
1,25,53,1973,16016,41.0,9.35
26,25,53,1973,16003,26.0,12.65
25,25,53,1973,16003,33.0,12.65
24,25,53,1973,16003,44.0,12.65
23,25,53,1973,16003,58.0,12.6
22,25,53,1973,16003,93.0,12.55
21,25,53,1973,16003,111.0,12.55
20,25,53,1973,16003,104.0,12.55
19,25,53,1973,16003,80.0,12.55
18,25,53,1973,16003,114.0,12.55
17,25,53,1973,16003,103.0,12.55
16,25,53,1973,16003,58.0,12.7
15,25,53,1973,16003,17.0,13.25
14,25,53,1973,16003,29.0,13.2
13,25,53,1973,16003,26.0,13.15
12,25,53,1973,16003,19.0,13.15
11,25,53,1973,16003,32.0,13.15
10,25,53,1973,16003,32.0,13.15
9,25,53,1973,16003,50.0,13.15
